miasto,lat,lon,kraj,iso,region,kontynent
Umuahia,5.5333,7.4833,Nigeria,NGA,Abia,Africa
Ash Shuhada',30.6039,30.9021,Egypt,EGY,Al Minūfīyah,Africa
Cubal,-13.0333,14.25,Angola,AGO,Benguela,Africa
Luena,-11.7918,19.9062,Angola,AGO,Moxico,Africa
Cuito,-12.3833,16.9333,Angola,AGO,Bié,Africa
Gedaref,14.0333,35.3833,Sudan,SDN,Gedaref,Africa
Antonio Enes,-16.2333,39.9167,Mozambique,MOZ,Nampula,Africa
Gwagwalada,8.9392,7.0758,Nigeria,NGA,Federal Capital Territory,Africa
Wad Medani,14.4,33.5167,Sudan,SDN,Gezira,Africa
Kusti,13.1667,32.6667,Sudan,SDN,White Nile,Africa
Maseru,-29.31,27.48,Lesotho,LSO,Maseru,Africa
Serekunda,13.4333,-16.6667,"Gambia, The",GMB,Kanifing,Africa
Randburg,-26.0936,28.0064,South Africa,ZAF,Gauteng,Africa
Matadi,-5.8167,13.4833,Congo (Kinshasa),COD,Kongo Central,Africa
Birkat as Sab`,30.6338,31.0848,Egypt,EGY,Al Minūfīyah,Africa
Lafia,8.4917,8.5167,Nigeria,NGA,Nasarawa,Africa
Guediawaye,14.7833,-17.4,Senegal,SEN,Dakar,Africa
Roodepoort,-26.1625,27.8725,South Africa,ZAF,Gauteng,Africa
Nazret,8.5414,39.2689,Ethiopia,ETH,Oromīya,Africa
Kikuyu,-1.25,36.6667,Kenya,KEN,Kiambu,Africa
Mekele,13.4969,39.4769,Ethiopia,ETH,Tigray,Africa
Uige,-7.6167,15.05,Angola,AGO,Uíge,Africa
Taourirt,34.4169,-2.885,Morocco,MAR,Oriental,Africa
Menongue,-14.6556,17.6842,Angola,AGO,Cuando Cubango,Africa
Gode,5.9527,43.5516,Ethiopia,ETH,Sumalē,Africa
Okene,7.55,6.2333,Nigeria,NGA,Kogi,Africa
Muhanga,-2.0845,29.7527,Rwanda,RWA,Southern Province,Africa
Katsina,12.9889,7.6008,Nigeria,NGA,Katsina,Africa
Geita,-2.8714,32.2294,Tanzania,TZA,Geita,Africa
Bor,6.2125,31.5608,South Sudan,SSD,Jonglei,Africa
Saint-Denis,-20.8789,55.4481,Reunion,REU,,Africa
Temara,33.9267,-6.9122,Morocco,MAR,Rabat-Salé-Kénitra,Africa
Attiecoube,5.3333,-4.0333,Côte d’Ivoire,CIV,Abidjan,Africa
Mitchells Plain,-34.0506,18.6181,South Africa,ZAF,Western Cape,Africa
Safi,32.2833,-9.2333,Morocco,MAR,Marrakech-Safi,Africa
